Car,27.303,1
HGV,26.43,4
HGV,25.89,7
Van,26.562,3
Van,27.4785,6
HGV,27.618,9
HGV,25.533,5
HGV,26.415,2
HGV,25.8675,1
Car,26.3475,4
Car,25.5525,2
Van,26.556,4
HGV,26.0685,1
HGV,27.7515,8
HGV,25.6065,7
HGV,28.3365,3
HGV,27.699,2
Van,27.264,1
HGV,26.2605,1
Van,27.3165,4
HGV,25.8135,1
HGV,25.944,4
HGV,26.136,7
4840,27.5835,2
3414,25.677,2
3065,27.7335,2
3474,28.0635,2
4310,26.3895,2
3414,28.4775,2
3332,27.846,3
3927,27.4275,2
4078,26.238,3
4931,27.0615,2
4371,25.8435,4
4255,28.0635,4
3618,28.0725,3
3717,26.4915,2
3878,27.288,7
4192,25.653,6
4395,25.581,5
4096,25.761,8
4173,28.329,6
3619,27.21,4
4585,26.04,3
3369,27.273,7
4924,27.3135,6
3057,27.3,5
4313,27.9165,10
3624,27.4005,9
3722,25.6395,8
4928,27.699,2
3911,28.1085,2
3885,25.617,5
4922,27.108,10
4721,26.451,9
4311,26.904,8
4254,26.955,2
4847,27.447,5
4659,26.6715,2
4102,25.8765,2
3867,25.5945,4
4889,28.4475,2
4305,28.05,7
3616,27.135,6
4669,28.431,5
4586,26.1855,10
4113,26.223,9
4881,26.202,8
3352,25.83,3
4194,27.9555,4
3952,26.568,2
4657,26.571,7
4574,25.683,6
3056,26.928,5
4722,27.048,10
3238,28.0425,1
4007,26.151,3
3499,26.835,2
4162,27.069,6
4692,27.177,9
3565,26.385,5
4945,27.6615,8
3079,27.2475,1
4745,25.9455,4
4719,27.3645,7
4975,27.2055,3
4781,27.8505,6
3089,26.8275,9
4463,26.7675,5
3434,25.581,1
3837,28.3365,2
3706,27.153,4
4195,25.6605,8
4398,26.373,7
3556,25.8735,3
3982,27.0015,2
4359,28.4145,1
3225,25.6335,6
4717,27.1305,5
4307,28.0515,9
3618,26.8935,8
3716,26.619,7
4922,26.439,4
4290,27.114,3
4299,26.715,2
3610,26.4405,1
3708,28.0155,6
4197,26.496,5
3355,27.315,4
3237,27.621,9
4729,28.305,8
3364,26.3985,7
